Mois,avg(Close)
1,71.4480196131338
2,71.30680438169499
3,71.77794376266337
4,72.97361900692894
5,72.30971685445533
6,72.4953774506191
7,74.43971944078106
8,73.0298185521906
9,72.18411782208611
10,71.5785454489968
11,72.11108927207418
12,72.84792482628012
